date,hippodrome,temperature,precipitation,vent_kmh,terrain_lourd
2025-12-13,LYON-PARILLY,5.4,0.0,1.2,0
2025-12-13,DEAUVILLE,11.1,0.0,5.0,0
2025-12-13,CAGNES/MER,13.8,0.0,2.5,0
2025-12-14,VINCENNES,6.3,0.0,10.4,0
2025-12-14,PAU,5.9,0.0,5.0,0
2025-12-15,CAGNES/MER,12.9,0.0,11.8,0
2025-12-15,LYON LA SOIE,13.3,0.0,8.4,0
2025-12-15,LE CROISE LAROCHE,9.1,0.0,16.8,0
2025-12-16,PAU,13.6,0.0,2.7,0
2025-12-16,CABOURG,10.3,0.0,8.2,0
2025-12-17,VINCENNES,10.1,0.0,6.8,0
2025-12-17,CAGNES/MER,12.5,0.0,8.5,0
2025-12-17,DEAUVILLE,8.4,0.0,21.1,0
2025-12-18,DEAUVILLE,13.9,0.0,42.8,0
2025-12-18,MESLAY DU MAINE,10.6,0.0,22.7,0
2025-12-18,CAGNES/MER,11.1,0.0,2.8,0
2025-12-19,CHANTILLY,9.9,0.2,8.2,0
2025-12-19,VINCENNES,9.1,0.1,2.3,0
2025-12-20,PAU,7.5,0.0,2.7,0
2025-12-20,VINCENNES,9.8,0.0,7.6,0
2025-12-20,CAGNES/MER,14.3,0.0,4.1,0
2025-12-21,VINCENNES,10.9,0.9,11.0,0
2025-12-21,PONTCHATEAU,8.7,0.3,18.2,0
2025-12-22,CASABLANCA,14.1,0.1,9.2,0
2025-12-22,DEAUVILLE,9.4,0.0,10.8,0
2025-12-22,CABOURG,7.6,0.0,7.4,0
2025-12-23,DEAUVILLE,6.3,0.0,14.5,0
2025-12-23,CAGNES/MER,11.2,0.1,15.7,0
2025-12-24,VINCENNES,3.4,0.0,20.8,0
2025-12-24,PAU,5.8,0.0,7.1,0
2025-12-25,VINCENNES,1.8,0.0,14.7,0
2025-12-25,CAGNES/MER,13.9,0.0,15.0,0
2025-12-26,PAU,1.6,0.0,4.3,0
2025-12-26,VINCENNES,2.3,0.0,6.3,0
2025-12-27,CHANTILLY,-1.8,0.0,12.2,0
2025-12-27,VINCENNES,2.5,0.0,6.9,0
2025-12-27,CAGNES/MER,15.1,0.0,5.6,0
2025-12-28,VINCENNES,2.2,0.0,7.9,0
2025-12-28,PAU,2.7,0.0,0.7,0
2025-12-29,VINCENNES,1.8,0.0,6.4,0
2025-12-29,CAGNES/MER,9.4,0.0,7.9,0
2025-12-29,DEAUVILLE,3.9,0.0,14.7,0
2025-12-30,DEAUVILLE,5.9,0.0,14.4,0
2025-12-30,VINCENNES,2.5,0.0,10.5,0
2025-12-30,CAGNES/MER,12.3,0.0,8.7,0
2025-12-31,VINCENNES,3.1,0.0,3.1,0
2025-12-31,PAU,3.9,0.0,4.8,0
2026-01-01,VINCENNES,3.4,0.0,12.6,0
2026-01-01,CAGNES/MER,7.8,0.0,4.8,0
2026-01-02,CABOURG,4.8,0.0,20.4,0
2026-01-02,DEAUVILLE,4.3,0.2,21.6,0
2026-01-02,CAGNES/MER,12.3,0.0,23.3,0
2026-01-02,PAU,0.7,0.0,2.2,0
2026-01-03,VINCENNES,2.2,0.0,9.4,0
2026-01-03,PAU,2.9,0.7,7.7,0
2026-01-04,VINCENNES,0.1,0.0,2.4,0
2026-01-04,CAGNES/MER,4.8,0.0,13.2,0
2026-01-05,CASABLANCA,14.8,0.2,7.6,0
2026-01-05,VINCENNES,-1.0,1.0,7.7,0
2026-01-05,CAGNES/MER,3.8,0.0,10.7,0
2026-01-06,CAGNES/MER,5.9,0.0,11.4,0
2026-01-06,VINCENNES,-4.8,0.0,2.4,0
2026-01-07,PAU,9.4,0.0,15.4,0
2026-01-08,CAGNES/MER,9.4,0.0,8.4,0
2026-01-08,DEAUVILLE,9.6,0.8,37.6,0
2026-01-09,PAU,7.6,0.6,24.8,0
2026-01-09,DEAUVILLE,5.9,0.1,34.0,0
2026-01-09,VINCENNES,5.8,0.1,22.7,0
2026-01-10,VINCENNES,4.2,0.0,15.6,0
2026-01-10,CHANTILLY,3.0,0.1,21.9,0
2026-01-10,LYON LA SOIE,3.5,0.1,12.8,0
2026-01-11,PAU,2.9,0.0,6.5,0
2026-01-11,VINCENNES,0.9,0.0,8.2,0
2026-01-11,CAGNES/MER,11.2,0.0,13.7,0
2026-01-12,NANTES,12.6,0.1,26.8,0
2026-01-12,CAGNES/MER,10.0,0.0,3.3,0
2026-01-12,MAUQUENCHY,9.8,0.4,22.6,0
2026-01-13,VINCENNES,11.8,0.0,10.3,0
2026-01-13,PAU,8.1,0.0,4.7,0
2026-01-14,VINCENNES,9.6,0.0,6.5,0
2026-01-14,CAGNES/MER,13.4,0.0,5.1,0
2026-01-15,VINCENNES,9.4,0.0,15.8,0
2026-01-15,CAGNES/MER,11.4,0.0,8.1,0
2026-01-16,PAU,8.1,0.0,9.6,0
2026-01-16,DEAUVILLE,9.0,0.0,18.5,0
2026-01-16,NANTES,9.6,0.0,10.2,0
2026-01-16,CAGNES/MER,14.5,0.0,3.8,0
2026-01-17,CAGNES/MER,11.1,0.0,13.0,0
