course_id,discipline,distance,nb_partants,allocation,taux_hippo,confiance_top1,cote_top1,ecart_top2,std_probas,temperature,precipitation,vent_kmh,terrain_lourd,erreur_top1,top1_dans_top5,gagnant_rang_chez_victor,precision_quinte,victor_correct,tranche_conf,tranche_dist
8477,CROSS,2950,14,53000,0.4283,77.56,3.0,7.56,11.07,15.0,0.0,10.0,0,4,1,2,4,1,>65%,Fond
8478,CROSS,2150,13,24000,0.4283,71.15,4.5,0.94,5.3,15.0,0.0,10.0,0,7,0,2,4,0,>65%,Long
8484,CROSS,2950,11,30000,0.4283,74.01,4.0,8.35,7.93,15.0,0.0,10.0,0,5,1,99,4,1,>65%,Fond
8487,CROSS,2750,12,23000,0.4283,72.33,3.2,0.64,8.47,15.0,0.0,10.0,0,99,0,4,1,0,>65%,Fond
8491,CROSS,2950,12,24000,0.4283,61.08,7.4,1.35,5.71,15.0,0.0,10.0,0,1,1,1,3,1,55-65%,Fond
8494,CROSS,2950,14,24000,0.4283,59.4,8.4,13.38,11.45,15.0,0.0,10.0,0,5,1,99,1,1,55-65%,Fond
8499,CROSS,2800,14,23000,0.3708,73.82,3.7,0.65,3.09,18.8,0.0,8.3,0,5,1,8,3,1,>65%,Fond
8500,PLAT,3800,11,27000,0.4468,54.68,14.0,8.87,13.09,15.0,0.0,10.0,0,99,0,99,0,0,45-55%,Fond
8501,CROSS,2800,9,22000,0.3708,87.48,2.0,12.04,17.98,18.8,0.0,8.3,0,1,1,1,3,1,>65%,Fond
8504,CROSS,2800,14,19500,0.3708,64.67,5.7,0.07,9.22,18.8,0.0,8.3,0,99,0,99,1,0,55-65%,Fond
8507,CROSS,2800,18,26000,0.3708,68.86,4.7,2.92,7.42,18.8,0.0,8.3,0,4,1,7,3,1,>65%,Fond
8508,CROSS,2800,15,29000,0.3708,63.73,5.4,3.11,11.7,18.8,0.0,8.3,0,2,1,3,3,1,55-65%,Fond
8513,TROT_ATTELE,2800,13,29000,0.3708,80.38,2.2,13.96,7.75,18.8,0.0,8.3,0,1,1,1,4,1,>65%,Fond
8514,CROSS,2800,12,26000,0.3708,71.78,4.4,0.73,5.95,18.8,0.0,8.3,0,1,1,1,2,1,>65%,Fond
8518,TROT_ATTELE,2725,18,23000,0.3404,72.53,3.5,9.8,17.95,15.0,0.0,10.0,0,3,1,2,2,1,>65%,Fond
8520,TROT_ATTELE,2725,18,23000,0.3404,67.37,5.0,7.21,11.6,15.0,0.0,10.0,0,2,1,99,3,1,>65%,Fond
8527,CROSS,2100,11,4104,0.4776,74.97,4.2,5.55,21.07,15.0,0.0,10.0,0,4,1,99,3,1,>65%,Long
8528,CROSS,2100,12,4104,0.4776,75.42,2.9,4.47,5.48,15.0,0.0,10.0,0,2,1,4,5,1,>65%,Long
8529,CROSS,1609,12,4104,0.4776,83.44,1.6,20.77,15.54,15.0,0.0,10.0,0,99,0,4,3,0,>65%,Moyen
8533,CROSS,2725,17,23000,0.3404,83.89,1.7,31.98,15.43,15.0,0.0,10.0,0,2,1,99,2,1,>65%,Fond
8534,TROT_ATTELE,2725,14,24000,0.3404,75.62,2.8,5.4,10.99,15.0,0.0,10.0,0,7,0,3,2,0,>65%,Fond
8538,CROSS,2725,12,26000,0.3404,71.58,4.0,6.73,10.48,15.0,0.0,10.0,0,2,1,99,2,1,>65%,Fond
8539,CROSS,2725,18,23000,0.3404,41.15,27.0,8.99,6.81,15.0,0.0,10.0,0,1,1,1,3,1,30-45%,Fond
8541,CROSS,2725,18,23000,0.3404,69.35,5.5,6.81,7.33,15.0,0.0,10.0,0,99,0,99,1,0,>65%,Fond
8545,CROSS,2700,16,46000,0.3909,80.19,2.5,25.64,13.17,19.5,0.0,9.9,0,1,1,1,3,1,>65%,Fond
8546,CROSS,2850,16,59000,0.3909,76.58,2.4,19.23,9.89,19.5,0.0,9.9,0,2,1,2,3,1,>65%,Fond
8550,CROSS,2175,10,46000,0.3909,85.89,2.0,13.36,8.52,19.5,0.0,9.9,0,3,1,2,4,1,>65%,Long
8551,CROSS,2100,16,59000,0.3909,76.53,2.9,10.28,9.53,19.5,0.0,9.9,0,2,1,2,3,1,>65%,Long
8554,TROT_ATTELE,2200,12,59000,0.3909,86.81,2.1,23.35,14.18,19.5,0.0,9.9,0,1,1,1,3,1,>65%,Long
8555,TROT_ATTELE,2850,9,46000,0.3909,89.71,1.5,16.58,10.55,19.5,0.0,9.9,0,1,1,1,4,1,>65%,Fond
8556,CROSS,2100,11,4104,0.4776,80.02,2.6,1.09,10.29,15.0,0.0,10.0,0,2,1,2,3,1,>65%,Long
8557,TROT_ATTELE,2200,12,59000,0.3909,62.68,9.0,3.46,11.69,19.5,0.0,9.9,0,3,1,99,2,1,55-65%,Long
8558,CROSS,2700,13,70000,0.3909,70.07,3.2,15.39,6.6,19.5,0.0,9.9,0,7,0,99,2,0,>65%,Fond
8561,CROSS,2700,12,70000,0.3909,75.87,4.7,4.67,6.41,19.5,0.0,9.9,0,4,1,2,3,1,>65%,Fond
8565,TROT_MONTE,1800,17,15000,0.4344,64.42,5.6,0.16,10.53,16.5,0.0,10.1,0,14,0,99,2,0,55-65%,Moyen
8566,TROT_MONTE,1700,14,20000,0.4445,76.84,4.1,8.59,7.31,15.0,0.0,10.0,0,1,1,1,4,1,>65%,Moyen
8567,TROT_MONTE,1800,17,15000,0.4344,70.26,4.3,6.66,7.52,16.5,0.0,10.1,0,1,1,1,3,1,>65%,Moyen
8569,TROT_MONTE,1800,17,20000,0.4344,66.49,5.3,5.3,5.55,16.5,0.0,10.1,0,7,0,10,2,0,>65%,Moyen
8571,TROT_MONTE,2600,8,20000,0.4445,90.34,2.9,5.04,11.26,15.0,0.0,10.0,0,3,1,99,3,1,>65%,Fond
8572,TROT_MONTE,2100,5,30000,0.4445,98.48,1.7,0.46,0.95,15.0,0.0,10.0,0,3,1,5,4,1,>65%,Long
8573,TROT_MONTE,2100,8,12000,0.4445,89.64,3.1,1.49,20.92,15.0,0.0,10.0,0,1,1,1,3,1,>65%,Long
8576,TROT_MONTE,2600,6,22000,0.4445,94.87,3.7,0.42,2.38,15.0,0.0,10.0,0,5,1,3,5,1,>65%,Fond
8579,TROT_MONTE,1200,7,27000,0.4445,92.86,2.6,5.98,4.7,15.0,0.0,10.0,0,6,0,3,4,0,>65%,Sprint
8580,TROT_MONTE,1200,12,17000,0.4445,77.88,4.0,3.75,20.11,15.0,0.0,10.0,0,2,1,99,1,1,>65%,Sprint
8582,TROT_MONTE,1200,12,17000,0.4445,60.43,9.1,0.73,9.12,15.0,0.0,10.0,0,5,1,4,3,1,55-65%,Sprint
8583,TROT_MONTE,1200,9,21000,0.4445,85.45,3.3,2.55,13.54,15.0,0.0,10.0,0,2,1,4,5,1,>65%,Sprint
8588,CROSS,2725,15,24000,0.3404,73.8,2.7,8.32,11.66,15.0,0.0,10.0,0,4,1,99,2,1,>65%,Fond
8589,TROT_MONTE,2400,8,19000,0.4344,89.79,2.7,2.22,11.75,16.5,0.0,10.1,0,3,1,2,4,1,>65%,Fond
8590,TROT_MONTE,1600,9,16000,0.4344,84.5,4.3,0.22,7.67,16.5,0.0,10.1,0,2,1,6,2,1,>65%,Moyen
8593,CROSS,2725,15,23000,0.3404,68.1,7.1,8.23,11.71,15.0,0.0,10.0,0,1,1,1,3,1,>65%,Fond
8595,CROSS,2725,15,23000,0.3404,75.54,2.7,1.8,10.37,15.0,0.0,10.0,0,1,1,1,4,1,>65%,Fond
8599,TROT_MONTE,2000,16,21000,0.4344,49.09,10.0,13.6,12.33,16.5,0.0,10.1,0,99,0,99,0,0,45-55%,Long
8600,TROT_MONTE,2000,17,25000,0.4344,68.13,4.9,19.23,19.13,16.5,0.0,10.1,0,2,1,99,2,1,>65%,Long
8602,TROT_MONTE,2000,17,25000,0.4344,72.26,4.6,19.32,13.02,16.5,0.0,10.1,0,14,0,3,1,0,>65%,Long
8609,TROT_MONTE,1400,14,19000,0.4344,71.29,4.3,21.34,10.93,16.5,0.0,10.1,0,5,1,99,3,1,>65%,Sprint
8612,TROT_MONTE,2000,8,27000,0.4344,87.65,3.0,6.41,9.32,16.5,0.0,10.1,0,4,1,3,3,1,>65%,Long
8613,TROT_MONTE,2000,16,21000,0.4344,69.03,4.3,9.24,9.94,16.5,0.0,10.1,0,1,1,1,4,1,>65%,Long
8615,CROSS,2000,12,2750,0.4873,65.02,5.8,2.65,13.65,15.0,0.0,10.0,0,2,1,99,1,1,>65%,Long
8620,CROSS,2000,10,2750,0.4873,80.0,3.6,1.6,20.91,15.0,0.0,10.0,0,4,1,99,3,1,>65%,Long
8628,CROSS,2850,16,40000,0.3909,67.45,3.4,6.71,10.19,20.1,0.0,9.4,0,99,0,99,2,0,>65%,Fond
8631,CROSS,2000,9,2750,0.4873,86.06,2.8,8.98,6.23,15.0,0.0,10.0,0,6,0,99,2,0,>65%,Long
8635,PLAT,3600,15,62000,0.4472,62.99,6.9,5.97,14.05,20.0,0.0,9.2,0,10,0,99,2,0,55-65%,Fond
8636,PLAT,4400,7,247000,0.4472,88.38,2.3,4.45,3.76,20.0,0.0,9.2,0,99,0,4,3,0,>65%,Fond
8637,PLAT,3900,8,135000,0.4472,87.87,2.8,6.92,5.79,20.0,0.0,9.2,0,1,1,1,3,1,>65%,Fond
8640,PLAT,3600,15,62000,0.4472,68.19,3.7,17.87,21.83,20.0,0.0,9.2,0,99,0,99,0,0,>65%,Fond
8643,PLAT,3500,6,95000,0.4472,93.95,2.9,0.17,2.92,20.0,0.0,9.2,0,4,1,4,5,1,>65%,Fond
8646,PLAT,4400,12,63000,0.4472,66.12,5.9,9.19,6.22,20.0,0.0,9.2,0,5,1,4,3,1,>65%,Fond
8653,CROSS,2100,10,56000,0.3909,88.43,1.7,15.36,8.04,20.1,0.0,9.4,0,1,1,1,2,1,>65%,Long
8654,CROSS,2175,15,120000,0.3909,71.53,3.5,15.7,8.9,20.1,0.0,9.4,0,5,1,8,2,1,>65%,Long
8657,CROSS,2175,15,46000,0.3909,71.5,3.8,4.89,6.17,20.1,0.0,9.4,0,1,1,1,3,1,>65%,Long
8658,CROSS,2100,13,41000,0.3909,76.1,3.3,2.44,10.91,20.1,0.0,9.4,0,1,1,1,2,1,>65%,Long
8661,CROSS,2700,14,120000,0.3909,82.44,2.2,1.95,8.69,20.1,0.0,9.4,0,2,1,6,4,1,>65%,Fond
8663,CROSS,2700,14,120000,0.3909,65.23,5.8,8.68,11.83,20.1,0.0,9.4,0,99,0,99,2,0,>65%,Fond
8664,CROSS,2850,9,120000,0.3909,86.23,2.5,7.18,6.65,20.1,0.0,9.4,0,6,0,4,3,0,>65%,Fond
8667,CROSS,2850,14,75000,0.3909,89.69,1.6,20.06,20.8,20.1,0.0,9.4,0,7,0,2,2,0,>65%,Fond
8674,CROSS,2650,14,24000,0.4592,78.63,3.1,14.41,9.81,15.0,0.0,10.0,0,2,1,8,2,1,>65%,Fond
8675,CROSS,2650,15,29000,0.4592,45.61,19.0,7.51,7.66,15.0,0.0,10.0,0,10,0,3,1,0,45-55%,Fond
8678,CROSS,2650,16,32000,0.4592,75.24,3.0,2.15,4.59,15.0,0.0,10.0,0,2,1,9,3,1,>65%,Fond
8680,TROT_ATTELE,2650,12,23000,0.4592,75.28,4.4,6.88,8.43,15.0,0.0,10.0,0,3,1,4,2,1,>65%,Fond
8681,CROSS,2900,16,22000,0.3884,75.07,4.4,0.31,10.22,15.7,0.0,18.1,0,3,1,13,4,1,>65%,Fond
8686,CROSS,2650,15,29000,0.4592,66.51,4.4,8.94,6.98,15.0,0.0,10.0,0,2,1,99,1,1,>65%,Fond
8687,CROSS,2650,8,29000,0.4592,89.11,2.1,12.71,5.97,15.0,0.0,10.0,0,1,1,1,3,1,>65%,Fond
8688,CROSS,2650,9,22000,0.4592,78.61,3.5,2.21,2.33,15.0,0.0,10.0,0,1,1,1,3,1,>65%,Fond
8693,TROT_MONTE,2000,15,21000,0.4345,60.55,7.2,9.84,13.91,27.5,0.0,19.5,0,7,0,99,2,0,55-65%,Long
8694,TROT_MONTE,2000,14,17000,0.4345,67.1,5.8,0.09,7.13,27.5,0.0,19.5,0,2,1,4,2,1,>65%,Long
8702,PLAT,3600,16,110000,0.4472,70.11,4.2,10.74,7.71,20.0,0.0,9.2,0,4,1,12,2,1,>65%,Fond
8703,TROT_MONTE,2000,15,21000,0.4345,54.45,8.8,15.8,17.31,27.5,0.0,19.5,0,4,1,99,1,1,45-55%,Long
8708,TROT_MONTE,1600,7,15000,0.4345,92.35,2.9,3.19,5.53,27.5,0.0,19.5,0,3,1,7,4,1,>65%,Moyen
8712,TROT_MONTE,2000,14,15000,0.4345,60.15,5.2,1.29,8.06,27.5,0.0,19.5,0,2,1,99,2,1,55-65%,Long
8718,TROT_MONTE,1350,11,20000,0.4345,72.93,6.0,3.15,19.57,27.5,0.0,19.5,0,1,1,1,2,1,>65%,Sprint
