date,hippodrome,temperature,precipitation,vent_kmh,terrain_lourd,date_str,hippo_str
2025-10-17,LE CROISE LAROCHE,14.3,0.0,6.0,0,2025-10-17,LE CROISE LAROCHE
2025-10-17,FONTAINEBLEAU,16.2,0.0,17.9,0,2025-10-17,FONTAINEBLEAU
2025-10-18,AUTEUIL,14.2,0.0,9.6,0,2025-10-18,AUTEUIL
2025-10-18,ENGHIEN,14.8,0.0,9.1,0,2025-10-18,ENGHIEN
2025-10-19,ParisLongchamp,11.3,0.3,16.3,0,2025-10-19,ParisLongchamp
2025-10-19,LYON-PARILLY,17.5,0.0,21.8,0,2025-10-19,LYON-PARILLY
2025-10-20,CASABLANCA,21.1,0.0,3.0,0,2025-10-20,CASABLANCA
2025-10-20,COMPIEGNE,13.6,0.0,19.0,0,2025-10-20,COMPIEGNE
2025-10-20,DEAUVILLE,15.3,0.2,27.9,0,2025-10-20,DEAUVILLE
2025-10-21,CLAIREFONTAINE,16.3,0.1,23.1,0,2025-10-21,CLAIREFONTAINE
2025-10-21,VINCENNES,15.1,0.0,12.7,0,2025-10-21,VINCENNES
2025-10-22,PAU,15.7,0.0,2.2,0,2025-10-22,PAU
2025-10-22,DEAUVILLE,15.7,0.0,15.5,0,2025-10-22,DEAUVILLE
2025-10-23,CABOURG,9.9,1.3,29.1,0,2025-10-23,CABOURG
2025-10-23,AUTEUIL,11.6,0.2,24.7,0,2025-10-23,AUTEUIL
2025-10-23,DEAUVILLE,10.8,5.0,38.8,1,2025-10-23,DEAUVILLE
2025-10-24,VINCENNES,13.0,0.0,19.3,0,2025-10-24,VINCENNES
2025-10-24,LYON LA SOIE,12.4,0.0,12.3,0,2025-10-24,LYON LA SOIE
2025-10-24,CLAIREFONTAINE,11.6,0.0,31.5,0,2025-10-24,CLAIREFONTAINE
2025-10-25,COMPIEGNE,12.6,0.0,16.7,0,2025-10-25,COMPIEGNE
2025-10-25,CABOURG,11.9,0.5,21.4,0,2025-10-25,CABOURG
2025-10-26,SAINT-CLOUD,8.6,0.0,15.6,0,2025-10-26,SAINT-CLOUD
2025-10-26,ENGHIEN,10.6,0.0,15.5,0,2025-10-26,ENGHIEN
2025-10-27,LYON-PARILLY,9.0,0.1,11.6,0,2025-10-27,LYON-PARILLY
2025-10-27,CHANTILLY,14.2,0.0,24.6,0,2025-10-27,CHANTILLY
2025-10-27,LE CROISE LAROCHE,12.0,0.0,22.5,0,2025-10-27,LE CROISE LAROCHE
2025-10-28,FONTAINEBLEAU,12.3,0.0,22.9,0,2025-10-28,FONTAINEBLEAU
2025-10-28,CHANTILLY,14.9,0.1,24.2,0,2025-10-28,CHANTILLY
2025-10-28,VINCENNES,13.6,0.0,14.1,0,2025-10-28,VINCENNES
2025-10-29,AUTEUIL,13.8,0.0,8.8,0,2025-10-29,AUTEUIL
2025-10-29,AMIENS,14.1,0.0,11.8,0,2025-10-29,AMIENS
2025-10-30,VINCENNES,13.6,0.0,11.5,0,2025-10-30,VINCENNES
2025-10-30,LYON-PARILLY,13.7,0.0,8.6,0,2025-10-30,LYON-PARILLY
2025-10-31,CHANTILLY,12.6,0.0,15.7,0,2025-10-31,CHANTILLY
2025-10-31,VINCENNES,16.1,0.0,14.4,0,2025-10-31,VINCENNES
2025-11-01,NANTES,13.1,0.3,17.1,0,2025-11-01,NANTES
2025-11-01,DEAUVILLE,15.6,0.1,23.6,0,2025-11-01,DEAUVILLE
2025-11-01,LAVAL,12.6,0.0,17.6,0,2025-11-01,LAVAL
2025-11-01,LYON LA SOIE,17.5,0.0,14.0,0,2025-11-01,LYON LA SOIE
2025-11-02,DEAUVILLE,13.1,0.2,28.8,0,2025-11-02,DEAUVILLE
2025-11-03,FONTAINEBLEAU,11.8,0.1,19.0,0,2025-11-03,FONTAINEBLEAU
2025-11-03,VINCENNES,15.0,0.0,15.8,0,2025-11-03,VINCENNES
2025-11-03,LE CROISE LAROCHE,12.8,0.0,18.8,0,2025-11-03,LE CROISE LAROCHE
2025-11-04,VINCENNES,16.5,0.0,11.1,0,2025-11-04,VINCENNES
2025-11-05,NANTES,18.2,0.0,16.9,0,2025-11-05,NANTES
2025-11-05,AUTEUIL,12.0,0.0,10.1,0,2025-11-05,AUTEUIL
2025-11-06,VINCENNES,14.4,0.0,6.0,0,2025-11-06,VINCENNES
2025-11-06,FONTAINEBLEAU,12.4,0.0,6.1,0,2025-11-06,FONTAINEBLEAU
2025-11-06,DEAUVILLE,17.5,0.0,10.6,0,2025-11-06,DEAUVILLE
